RES_LAD23CD,WORK_LAD23CD,flow
E06000002,E09000028,2
E06000002,E09000030,5
E06000002,E09000031,2
E06000002,E09000032,2
E06000002,E09000033,23
E06000002,W06000001,2
E06000002,W06000002,1
E06000002,W06000004,2
E06000002,W06000005,8
E06000002,W06000009,7
E06000002,W06000010,3
E06000002,W06000011,1
E06000002,W06000012,4
E06000002,W06000013,1
E06000002,W06000014,1
E06000002,W06000015,8
E06000002,W06000016,1
E06000003,E06000001,558
E06000003,E06000002,10569
E06000003,E06000003,25106
E06000003,E06000004,5387
E06000003,E06000005,682
E06000003,E06000006,2
E06000003,E06000007,4
E06000003,E06000008,1
E06000003,E06000009,1
E06000003,E06000010,7
E06000003,E06000011,49
E06000003,E06000012,5
E06000003,E06000013,27
E06000003,E06000014,94
E06000003,E06000015,11
E06000003,E06000016,4
E06000003,E06000017,2
E06000003,E06000018,7
E06000003,E06000020,4
E06000003,E06000021,3
E06000003,E06000023,2
E06000003,E06000025,12
E06000003,E06000026,3
E06000003,E06000030,3
E06000003,E06000031,6
E06000003,E06000032,7
E06000003,E06000035,5
E06000003,E06000036,2
E06000003,E06000037,5
E06000003,E06000038,8
E06000003,E06000039,1
E06000003,E06000040,2
E06000003,E06000041,15
E06000003,E06000042,7
E06000003,E06000044,22
E06000003,E06000045,2
E06000003,E06000046,2
E06000003,E06000047,465
E06000003,E06000049,4
E06000003,E06000050,8
E06000003,E06000051,7
E06000003,E06000052,9
E06000003,E06000054,23
E06000003,E06000055,6
E06000003,E06000056,5
E06000003,E06000057,47
E06000003,E06000058,3
E06000003,E06000059,1
E06000003,E06000060,7
E06000003,E06000061,3
E06000003,E06000062,10
E06000003,E06000063,16
E06000003,E06000064,24
E06000003,E06000065,2162
E06000003,E06000066,12
E06000003,E07000011,2
E06000003,E07000012,3
E06000003,E07000032,5
E06000003,E07000033,6
E06000003,E07000034,1
E06000003,E07000038,1
E06000003,E07000040,1
E06000003,E07000043,2
E06000003,E07000044,2
E06000003,E07000045,2
E06000003,E07000063,1
E06000003,E07000066,1
E06000003,E07000067,1
E06000003,E07000069,3
E06000003,E07000070,2
E06000003,E07000071,7
E06000003,E07000072,2
E06000003,E07000073,1
E06000003,E07000075,1
E06000003,E07000076,1
E06000003,E07000077,2
E06000003,E07000078,4
E06000003,E07000079,3
E06000003,E07000081,11
E06000003,E07000082,4
E06000003,E07000083,1
E06000003,E07000085,1
E06000003,E07000086,3
E06000003,E07000087,2
E06000003,E07000088,1
E06000003,E07000089,2
E06000003,E07000091,3
E06000003,E07000092,2
E06000003,E07000093,2
E06000003,E07000095,3
E06000003,E07000098,1
E06000003,E07000099,2
E06000003,E07000102,2
E06000003,E07000103,5
E06000003,E07000107,4
E06000003,E07000108,1
E06000003,E07000110,1
E06000003,E07000111,1
E06000003,E07000113,1
E06000003,E07000114,1
E06000003,E07000115,1
E06000003,E07000119,15
E06000003,E07000121,3
E06000003,E07000123,3
E06000003,E07000124,3
E06000003,E07000125,1
E06000003,E07000126,5
E06000003,E07000129,4
E06000003,E07000130,1
E06000003,E07000134,7
E06000003,E07000136,1
E06000003,E07000137,12
E06000003,E07000138,2
E06000003,E07000139,11
E06000003,E07000140,1
E06000003,E07000142,3
E06000003,E07000143,5
E06000003,E07000145,2
E06000003,E07000146,9
E06000003,E07000148,2
E06000003,E07000170,2
E06000003,E07000171,30
E06000003,E07000172,5
E06000003,E07000173,1
E06000003,E07000174,2
E06000003,E07000175,8
E06000003,E07000176,7
E06000003,E07000177,8
E06000003,E07000178,3
E06000003,E07000179,3
E06000003,E07000180,4
E06000003,E07000181,4
E06000003,E07000193,1
E06000003,E07000194,1
E06000003,E07000195,4
E06000003,E07000197,14
E06000003,E07000198,1
E06000003,E07000199,1
E06000003,E07000200,1
E06000003,E07000207,9
E06000003,E07000209,5
E06000003,E07000210,6
E06000003,E07000212,3
E06000003,E07000213,3
E06000003,E07000214,3
E06000003,E07000215,1
E06000003,E07000217,2
E06000003,E07000219,1
E06000003,E07000220,3
E06000003,E07000221,5
E06000003,E07000222,4
E06000003,E07000226,8
E06000003,E07000227,1
E06000003,E07000228,1
E06000003,E07000238,1
E06000003,E07000239,1
E06000003,E07000240,1
E06000003,E07000241,1
E06000003,E07000243,1
E06000003,E07000244,3
E06000003,E07000245,2
E06000003,E08000001,2
E06000003,E08000002,2
E06000003,E08000003,18
E06000003,E08000004,4
E06000003,E08000006,8
E06000003,E08000007,3
E06000003,E08000008,2
E06000003,E08000009,8
E06000003,E08000010,3
E06000003,E08000012,11
E06000003,E08000013,5
E06000003,E08000014,5
E06000003,E08000015,5
E06000003,E08000016,9
E06000003,E08000017,26
E06000003,E08000018,16
E06000003,E08000019,36
E06000003,E08000021,170
E06000003,E08000022,64
E06000003,E08000023,44
E06000003,E08000024,252
E06000003,E08000025,9
E06000003,E08000026,8
E06000003,E08000027,4
E06000003,E08000028,3
E06000003,E08000029,2
E06000003,E08000030,5
E06000003,E08000031,10
E06000003,E08000032,18
E06000003,E08000033,6
E06000003,E08000034,15
E06000003,E08000035,141
E06000003,E08000036,39
E06000003,E08000037,109
E06000003,E09000001,6
E06000003,E09000002,3
E06000003,E09000003,6
E06000003,E09000004,2
E06000003,E09000006,2
E06000003,E09000007,6
E06000003,E09000008,3
E06000003,E09000009,1
E06000003,E09000012,3
E06000003,E09000014,1
E06000003,E09000017,13
E06000003,E09000018,3
E06000003,E09000019,11
E06000003,E09000020,1
E06000003,E09000021,2
E06000003,E09000022,1
E06000003,E09000023,2
E06000003,E09000024,4
E06000003,E09000025,1
E06000003,E09000027,3
E06000003,E09000029,4
E06000003,E09000030,11
E06000003,E09000032,3
E06000003,E09000033,21
E06000003,W06000003,2
E06000003,W06000005,3
E06000003,W06000009,6
E06000003,W06000011,1
E06000003,W06000012,7
E06000003,W06000015,8
E06000003,W06000016,2
E06000003,W06000018,1
