outla,inla,moves
E06000003,E07000214,2.9359
E06000003,E07000216,4.103
E06000003,E07000217,1.4235
E06000003,E07000219,3.4408000000000003
E06000003,E07000222,3.348
E06000003,E07000224,3.8013000000000003
E06000003,E07000227,2.5289
E06000003,E07000228,2.489
E06000003,E07000236,1.3494
E06000003,E07000241,1.2074
E06000003,E07000243,2.409
E06000003,E07000244,4.4603
E06000003,E07000245,2.2533
E06000003,E08000001,3.1509
E06000003,E08000002,3.7360999999999995
E06000003,E08000003,17.9469
E06000003,E08000004,9.3283
E06000003,E08000005,3.6341
E06000003,E08000006,7.8071
E06000003,E08000007,1.1826
E06000003,E08000008,1.5392
E06000003,E08000010,1.5742
E06000003,E08000012,16.6419
E06000003,E08000013,1.1141
E06000003,E08000014,4.7652
E06000003,E08000015,3.226
E06000003,E08000016,7.8721000000000005
E06000003,E08000017,12.985899999999999
E06000003,E08000018,12.5692
E06000003,E08000019,16.5777
E06000003,E08000021,45.317899999999995
E06000003,E08000022,21.2756
E06000003,E08000023,7.3691
E06000003,E08000024,44.512699999999995
E06000003,E08000025,5.4838
E06000003,E08000026,5.266
E06000003,E08000027,2.3801
E06000003,E08000028,1.3714
E06000003,E08000029,3.2735000000000003
E06000003,E08000031,1.3297
E06000003,E08000032,14.251
E06000003,E08000033,11.2106
E06000003,E08000034,24.3168
E06000003,E08000035,43.4278
E06000003,E08000036,24.383099999999995
E06000003,E08000037,31.314299999999996
E06000003,E09000001,1.5083
E06000003,E09000002,1.3088
E06000003,E09000003,1.3416
E06000003,E09000004,1.3228
E06000003,E09000007,1.7151
E06000003,E09000008,2.8569
E06000003,E09000009,1.2207
E06000003,E09000010,6.6943
E06000003,E09000011,2.6642
E06000003,E09000014,1.3175
E06000003,E09000015,1.189
E06000003,E09000016,2.6093
E06000003,E09000017,1.3058
E06000003,E09000018,1.2239
E06000003,E09000019,1.6229
E06000003,E09000020,1.3965
E06000003,E09000022,10.758300000000002
E06000003,E09000024,1.2913
E06000003,E09000027,1.3828
E06000003,E09000028,1.3426
E06000003,E09000030,3.0045
E06000003,E09000031,4.4407
E06000003,E09000032,2.5686999999999998
E06000003,E09000033,2.8929
E06000003,W06000001,2.4318
E06000003,W06000002,2.4035
E06000003,W06000003,4.8473
